split,env,section,platform,modality,required,count,missing_count,orphan_count
train,Logistic_site,General_LogisticSite,conveyor_track_01,rgb/top_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,conveyor_track_01,depth/top_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,conveyor_track_01,normals/top_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,conveyor_track_01,bbox/top_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,conveyor_track_01,inst_seg_image/top_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,conveyor_track_01,inst_seg_mapping/top_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,conveyor_track_01,pointcloud_xyz/top_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,conveyor_track_01,pointcloud_rgb/top_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,conveyor_track_01,pointcloud_inst_seg/top_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,conveyor_track_01,pointcloud_inst_seg_mapping/top_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,conveyor_track_01,rgb/side_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,conveyor_track_01,depth/side_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,conveyor_track_01,normals/side_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,conveyor_track_01,bbox/side_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,conveyor_track_01,inst_seg_image/side_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,conveyor_track_01,inst_seg_mapping/side_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,conveyor_track_01,pointcloud_xyz/side_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,conveyor_track_01,pointcloud_rgb/side_view_camera,True,3752,0,1
train,Logistic_site,General_LogisticSite,conveyor_track_01,pointcloud_inst_seg/side_view_camera,True,3752,0,1
